NOUN,VERB,ADJ,ADV,generated,PERSON,ORGANIZATION,GPE,LOCATION,GSP,FACILITY
173,118,46,22,0,8.0,1.0,10.0,0.0,0.0,0.0
152,87,38,21,0,2.0,0.0,7.0,1.0,0.0,0.0
215,144,74,43,0,5.0,1.0,1.0,0.0,0.0,0.0
179,143,61,39,0,7.0,2.0,6.0,0.0,0.0,0.0
235,173,64,70,0,5.0,0.0,4.0,0.0,0.0,0.0
130,105,41,39,0,0.0,0.0,1.0,0.0,0.0,0.0
118,72,39,25,0,1.0,0.0,2.0,0.0,0.0,0.0
115,83,37,42,0,3.0,0.0,8.0,0.0,0.0,0.0
112,73,57,41,0,1.0,0.0,1.0,0.0,0.0,0.0
132,110,30,35,0,2.0,2.0,0.0,0.0,0.0,0.0
97,52,36,17,0,1.0,1.0,2.0,0.0,0.0,0.0
206,113,48,30,0,5.0,0.0,3.0,1.0,1.0,0.0
103,102,49,33,0,0.0,0.0,0.0,0.0,0.0,0.0
88,83,22,28,0,0.0,1.0,0.0,0.0,0.0,0.0
195,131,41,46,0,3.0,2.0,11.0,0.0,0.0,0.0
202,107,59,28,0,8.0,2.0,10.0,0.0,0.0,0.0
97,60,28,18,0,4.0,3.0,2.0,0.0,0.0,0.0
94,65,24,14,0,2.0,1.0,5.0,0.0,0.0,0.0
190,125,54,24,0,6.0,1.0,5.0,0.0,0.0,0.0
137,100,33,34,0,7.0,1.0,8.0,0.0,0.0,0.0
149,140,50,61,0,3.0,3.0,4.0,0.0,0.0,0.0
294,165,149,78,0,5.0,1.0,5.0,1.0,0.0,0.0
137,102,41,29,0,3.0,2.0,5.0,0.0,0.0,0.0
170,134,62,47,0,6.0,3.0,4.0,0.0,0.0,0.0
152,126,51,60,0,3.0,5.0,1.0,0.0,0.0,0.0
116,56,21,19,0,1.0,1.0,2.0,0.0,0.0,0.0
134,87,39,30,0,2.0,2.0,3.0,0.0,0.0,0.0
182,130,50,50,0,5.0,1.0,7.0,0.0,0.0,0.0
184,118,44,39,0,5.0,10.0,6.0,0.0,0.0,0.0
233,225,62,65,0,9.0,1.0,5.0,1.0,0.0,0.0
94,54,28,20,0,2.0,5.0,0.0,0.0,0.0,0.0
